Title,Year,Genre,RunTime,Rating,Votes,Director,Cast,Gross
La vie d'Adèle,2013,Drama;Romance,180,7.7,140513,Abdellatif Kechiche,Léa Seydoux;Adèle Exarchopoulos;Salim Kechiouche;Aurélien Recoing,2.2
Anand,1971,Drama;Musical,122,8.3,31160,Hrishikesh Mukherjee,Rajesh Khanna;Amitabh Bachchan;Sumita Sanyal;Ramesh Deo,-1
Les choristes,2004,Comedy;Drama;Music,97,7.9,58073,Christophe Barratier,Gérard Jugnot;François Berléand;Jean-Baptiste Maunier;Kad Merad,3.64
The Dark Knight,2008,Action;Crime;Drama,152,9,2341261,Christopher Nolan,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine,534.86
Inception,2010,Action;Adventure;Sci-Fi,148,8.8,2099854,Christopher Nolan,Leonardo DiCaprio;Joseph Gordon-Levitt;Elliot Page;Ken Watanabe,292.58
Interstellar,2014,Adventure;Drama;Sci-Fi,169,8.6,1544204,Christopher Nolan,Matthew McConaughey;Anne Hathaway;Jessica Chastain;Mackenzie Foy,188.02
The Prestige,2006,Drama;Mystery;Sci-Fi,130,8.5,1208183,Christopher Nolan,Christian Bale;Hugh Jackman;Scarlett Johansson;Michael Caine,53.09
The Dark Knight Rises,2012,Action;Adventure,164,8.4,1536594,Christopher Nolan,Christian Bale;Tom Hardy;Anne Hathaway;Gary Oldman,448.14
Memento,2000,Mystery;Thriller,113,8.4,1139186,Christopher Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano;Mark Boone Junior,25.54
Batman Begins,2005,Action;Adventure,140,8.2,1325535,Christopher Nolan,Christian Bale;Michael Caine;Ken Watanabe;Liam Neeson,206.85
Dunkirk,2017,Action;Drama;History,106,7.8,567652,Christopher Nolan,Fionn Whitehead;Barry Keoghan;Mark Rylance;Tom Hardy,188.37
Mission: Impossible - Fallout,2018,Action;Adventure;Thriller,147,7.7,296887,Christopher McQuarrie,Tom Cruise;Henry Cavill;Ving Rhames;Simon Pegg,220.16
Udaan,2010,Drama,134,8.2,42695,Vikramaditya Motwane,Rajat Barmecha;Ronit Roy;Manjot Singh;Ram Kapoor,0.01
L'avventura,1960,Drama;Mystery;Romance,144,7.9,27027,Michelangelo Antonioni,Gabriele Ferzetti;Monica Vitti;Lea Massari;Dominique Blanchar,-1
